"","Relative_Compactness","Surface_Area","Wall_Area","Roof_Area","Overall_Height","Orientation","Glazing_Area","Cooling_Load"
"157",0.82,612.5,318.5,147,7,2,0.1,28.68
"158",0.82,612.5,318.5,147,7,3,0.1,27.54
"159",0.82,612.5,318.5,147,7,4,0.1,25.35
"160",0.82,612.5,318.5,147,7,5,0.1,24.93
"161",0.79,637,343,147,7,2,0.1,43.12
"162",0.79,637,343,147,7,3,0.1,41.22
"163",0.79,637,343,147,7,4,0.1,35.1
"164",0.79,637,343,147,7,5,0.1,34.29
"165",0.76,661.5,416.5,122.5,7,2,0.1,33.85
"166",0.76,661.5,416.5,122.5,7,3,0.1,34.11
"167",0.76,661.5,416.5,122.5,7,4,0.1,34.48
"168",0.76,661.5,416.5,122.5,7,5,0.1,34.5
"169",0.74,686,245,220.5,3.5,2,0.1,13.6
"170",0.74,686,245,220.5,3.5,3,0.1,13.36
"171",0.74,686,245,220.5,3.5,4,0.1,13.65
"172",0.74,686,245,220.5,3.5,5,0.1,13.49
"173",0.71,710.5,269.5,220.5,3.5,2,0.1,14.14
"174",0.71,710.5,269.5,220.5,3.5,3,0.1,13.77
"175",0.71,710.5,269.5,220.5,3.5,4,0.1,14.3
"176",0.71,710.5,269.5,220.5,3.5,5,0.1,13.87
"177",0.69,735,294,220.5,3.5,2,0.1,14.44
"178",0.69,735,294,220.5,3.5,3,0.1,14.27
"179",0.69,735,294,220.5,3.5,4,0.1,14.67
"180",0.69,735,294,220.5,3.5,5,0.1,14.4
"181",0.66,759.5,318.5,220.5,3.5,2,0.1,13.46
"182",0.66,759.5,318.5,220.5,3.5,3,0.1,13.7
"183",0.66,759.5,318.5,220.5,3.5,4,0.1,13.59
"184",0.66,759.5,318.5,220.5,3.5,5,0.1,13.83
"185",0.64,784,343,220.5,3.5,2,0.1,19.14
"186",0.64,784,343,220.5,3.5,3,0.1,19.18
"187",0.64,784,343,220.5,3.5,4,0.1,19.37
"188",0.64,784,343,220.5,3.5,5,0.1,19.29
"189",0.62,808.5,367.5,220.5,3.5,2,0.1,14.09
"190",0.62,808.5,367.5,220.5,3.5,3,0.1,14.23
"191",0.62,808.5,367.5,220.5,3.5,4,0.1,14.14
"192",0.62,808.5,367.5,220.5,3.5,5,0.1,13.89
"193",0.98,514.5,294,110.25,7,2,0.1,25.91
"194",0.98,514.5,294,110.25,7,3,0.1,25.72
"195",0.98,514.5,294,110.25,7,4,0.1,26.18
"196",0.98,514.5,294,110.25,7,5,0.1,25.87
"197",0.9,563.5,318.5,122.5,7,2,0.1,29.34
"198",0.9,563.5,318.5,122.5,7,3,0.1,33.91
"199",0.9,563.5,318.5,122.5,7,4,0.1,32.83
"200",0.9,563.5,318.5,122.5,7,5,0.1,29.92
"201",0.86,588,294,147,7,2,0.1,27.17
"202",0.86,588,294,147,7,3,0.1,31.76
"203",0.86,588,294,147,7,4,0.1,31.06
"204",0.86,588,294,147,7,5,0.1,25.81
"205",0.82,612.5,318.5,147,7,2,0.1,24.61
"206",0.82,612.5,318.5,147,7,3,0.1,28.61
"207",0.82,612.5,318.5,147,7,4,0.1,27.57
"208",0.82,612.5,318.5,147,7,5,0.1,25.16
"209",0.79,637,343,147,7,2,0.1,34.25
"210",0.79,637,343,147,7,3,0.1,43.3
"211",0.79,637,343,147,7,4,0.1,41.86
"212",0.79,637,343,147,7,5,0.1,35.29
"213",0.76,661.5,416.5,122.5,7,2,0.1,34.11
"214",0.76,661.5,416.5,122.5,7,3,0.1,33.62
"215",0.76,661.5,416.5,122.5,7,4,0.1,33.89
"216",0.76,661.5,416.5,122.5,7,5,0.1,34.05
"217",0.74,686,245,220.5,3.5,2,0.1,13.2
"218",0.74,686,245,220.5,3.5,3,0.1,13.36
"219",0.74,686,245,220.5,3.5,4,0.1,13.21
"220",0.74,686,245,220.5,3.5,5,0.1,13.53
"221",0.71,710.5,269.5,220.5,3.5,2,0.1,13.67
"222",0.71,710.5,269.5,220.5,3.5,3,0.1,14.12
"223",0.71,710.5,269.5,220.5,3.5,4,0.1,13.79
"224",0.71,710.5,269.5,220.5,3.5,5,0.1,14.2
"225",0.69,735,294,220.5,3.5,2,0.1,14.29
"226",0.69,735,294,220.5,3.5,3,0.1,14.49
"227",0.69,735,294,220.5,3.5,4,0.1,14.42
"228",0.69,735,294,220.5,3.5,5,0.1,14.73
"229",0.66,759.5,318.5,220.5,3.5,2,0.1,14.86
"230",0.66,759.5,318.5,220.5,3.5,3,0.1,14.67
"231",0.66,759.5,318.5,220.5,3.5,4,0.1,15
"232",0.66,759.5,318.5,220.5,3.5,5,0.1,14.83
"233",0.64,784,343,220.5,3.5,2,0.1,19.24
"234",0.64,784,343,220.5,3.5,3,0.1,19.25
"235",0.64,784,343,220.5,3.5,4,0.1,19.42
"236",0.64,784,343,220.5,3.5,5,0.1,19.48
"237",0.62,808.5,367.5,220.5,3.5,2,0.1,14.37
"238",0.62,808.5,367.5,220.5,3.5,3,0.1,14.34
"239",0.62,808.5,367.5,220.5,3.5,4,0.1,14.28
"240",0.62,808.5,367.5,220.5,3.5,5,0.1,14.47
"241",0.98,514.5,294,110.25,7,2,0.1,25.64
"242",0.98,514.5,294,110.25,7,3,0.1,25.98
"243",0.98,514.5,294,110.25,7,4,0.1,25.88
"244",0.98,514.5,294,110.25,7,5,0.1,26.18
"245",0.9,563.5,318.5,122.5,7,2,0.1,29.82
"246",0.9,563.5,318.5,122.5,7,3,0.1,29.52
"247",0.9,563.5,318.5,122.5,7,4,0.1,34.45
"248",0.9,563.5,318.5,122.5,7,5,0.1,33.01
"249",0.86,588,294,147,7,2,0.1,25.82
"250",0.86,588,294,147,7,3,0.1,27.33
"251",0.86,588,294,147,7,4,0.1,32.04
"252",0.86,588,294,147,7,5,0.1,31.28
"253",0.82,612.5,318.5,147,7,2,0.1,25.11
"254",0.82,612.5,318.5,147,7,3,0.1,24.77
"255",0.82,612.5,318.5,147,7,4,0.1,28.88
"256",0.82,612.5,318.5,147,7,5,0.1,27.69
"257",0.79,637,343,147,7,2,0.1,34.99
"258",0.79,637,343,147,7,3,0.1,34.18
"259",0.79,637,343,147,7,4,0.1,43.14
"260",0.79,637,343,147,7,5,0.1,41.26
"261",0.76,661.5,416.5,122.5,7,2,0.1,34.25
"262",0.76,661.5,416.5,122.5,7,3,0.1,34.35
"263",0.76,661.5,416.5,122.5,7,4,0.1,33.64
"264",0.76,661.5,416.5,122.5,7,5,0.1,33.88
"265",0.74,686,245,220.5,3.5,2,0.1,13.65
"266",0.74,686,245,220.5,3.5,3,0.1,13.44
"267",0.74,686,245,220.5,3.5,4,0.1,13.72
"268",0.74,686,245,220.5,3.5,5,0.1,13.5
"269",0.71,710.5,269.5,220.5,3.5,2,0.1,14.18
"270",0.71,710.5,269.5,220.5,3.5,3,0.1,13.75
"271",0.71,710.5,269.5,220.5,3.5,4,0.1,14.26
"272",0.71,710.5,269.5,220.5,3.5,5,0.1,13.89
"273",0.69,735,294,220.5,3.5,2,0.1,14.55
"274",0.69,735,294,220.5,3.5,3,0.1,14.28
"275",0.69,735,294,220.5,3.5,4,0.1,14.46
"276",0.69,735,294,220.5,3.5,5,0.1,14.39
"277",0.66,759.5,318.5,220.5,3.5,2,0.1,14.54
"278",0.66,759.5,318.5,220.5,3.5,3,0.1,14.81
"279",0.66,759.5,318.5,220.5,3.5,4,0.1,14.65
"280",0.66,759.5,318.5,220.5,3.5,5,0.1,14.87
"281",0.64,784,343,220.5,3.5,2,0.1,19.24
"282",0.64,784,343,220.5,3.5,3,0.1,19.18
"283",0.64,784,343,220.5,3.5,4,0.1,19.26
"284",0.64,784,343,220.5,3.5,5,0.1,19.29
"285",0.62,808.5,367.5,220.5,3.5,2,0.1,14.24
"286",0.62,808.5,367.5,220.5,3.5,3,0.1,13.97
"287",0.62,808.5,367.5,220.5,3.5,4,0.1,13.99
"288",0.62,808.5,367.5,220.5,3.5,5,0.1,14.15
"289",0.98,514.5,294,110.25,7,2,0.25,29.79
"290",0.98,514.5,294,110.25,7,3,0.25,29.79
"291",0.98,514.5,294,110.25,7,4,0.25,29.28
"292",0.98,514.5,294,110.25,7,5,0.25,29.49
"293",0.9,563.5,318.5,122.5,7,2,0.25,36.12
"294",0.9,563.5,318.5,122.5,7,3,0.25,33.17
"295",0.9,563.5,318.5,122.5,7,4,0.25,32.71
"296",0.9,563.5,318.5,122.5,7,5,0.25,37.58
"297",0.86,588,294,147,7,2,0.25,33.98
"298",0.86,588,294,147,7,3,0.25,28.61
"299",0.86,588,294,147,7,4,0.25,30.12
"300",0.86,588,294,147,7,5,0.25,34.73
"301",0.82,612.5,318.5,147,7,2,0.25,30.17
"302",0.82,612.5,318.5,147,7,3,0.25,27.84
"303",0.82,612.5,318.5,147,7,4,0.25,27.25
"304",0.82,612.5,318.5,147,7,5,0.25,31.39
"305",0.79,637,343,147,7,2,0.25,43.8
"306",0.79,637,343,147,7,3,0.25,37.81
"307",0.79,637,343,147,7,4,0.25,36.85
"308",0.79,637,343,147,7,5,0.25,45.52
"309",0.76,661.5,416.5,122.5,7,2,0.25,36.85
"310",0.76,661.5,416.5,122.5,7,3,0.25,37.58
"311",0.76,661.5,416.5,122.5,7,4,0.25,37.45
"312",0.76,661.5,416.5,122.5,7,5,0.25,36.62
"313",0.74,686,245,220.5,3.5,2,0.25,15.19
"314",0.74,686,245,220.5,3.5,3,0.25,15.5
"315",0.74,686,245,220.5,3.5,4,0.25,15.28
"316",0.74,686,245,220.5,3.5,5,0.25,15.5
"317",0.71,710.5,269.5,220.5,3.5,2,0.25,15.42
"318",0.71,710.5,269.5,220.5,3.5,3,0.25,15.85
"319",0.71,710.5,269.5,220.5,3.5,4,0.25,15.44
"320",0.71,710.5,269.5,220.5,3.5,5,0.25,15.81
"321",0.69,735,294,220.5,3.5,2,0.25,15.21
"322",0.69,735,294,220.5,3.5,3,0.25,15.63
"323",0.69,735,294,220.5,3.5,4,0.25,15.48
"324",0.69,735,294,220.5,3.5,5,0.25,15.78
"325",0.66,759.5,318.5,220.5,3.5,2,0.25,16.39
"326",0.66,759.5,318.5,220.5,3.5,3,0.25,16.27
"327",0.66,759.5,318.5,220.5,3.5,4,0.25,16.39
"328",0.66,759.5,318.5,220.5,3.5,5,0.25,16.19
"329",0.64,784,343,220.5,3.5,2,0.25,21.13
"330",0.64,784,343,220.5,3.5,3,0.25,21.19
"331",0.64,784,343,220.5,3.5,4,0.25,21.09
"332",0.64,784,343,220.5,3.5,5,0.25,21.08
"333",0.62,808.5,367.5,220.5,3.5,2,0.25,15.77
"334",0.62,808.5,367.5,220.5,3.5,3,0.25,15.95
"335",0.62,808.5,367.5,220.5,3.5,4,0.25,15.77
"336",0.62,808.5,367.5,220.5,3.5,5,0.25,15.76
"337",0.98,514.5,294,110.25,7,2,0.25,29.62
"338",0.98,514.5,294,110.25,7,3,0.25,29.69
"339",0.98,514.5,294,110.25,7,4,0.25,30.18
"340",0.98,514.5,294,110.25,7,5,0.25,30.02
"341",0.9,563.5,318.5,122.5,7,2,0.25,35.56
"342",0.9,563.5,318.5,122.5,7,3,0.25,32.64
"343",0.9,563.5,318.5,122.5,7,4,0.25,32.77
"344",0.9,563.5,318.5,122.5,7,5,0.25,37.72
"345",0.86,588,294,147,7,2,0.25,33.37
"346",0.86,588,294,147,7,3,0.25,27.89
"347",0.86,588,294,147,7,4,0.25,29.9
"348",0.86,588,294,147,7,5,0.25,34.52
"349",0.82,612.5,318.5,147,7,2,0.25,28.27
"350",0.82,612.5,318.5,147,7,3,0.25,26.96
"351",0.82,612.5,318.5,147,7,4,0.25,26.72
"352",0.82,612.5,318.5,147,7,5,0.25,29.88
"353",0.79,637,343,147,7,2,0.25,43.86
"354",0.79,637,343,147,7,3,0.25,37.41
"355",0.79,637,343,147,7,4,0.25,36.77
"356",0.79,637,343,147,7,5,0.25,45.97
"357",0.76,661.5,416.5,122.5,7,2,0.25,36.87
"358",0.76,661.5,416.5,122.5,7,3,0.25,37.35
"359",0.76,661.5,416.5,122.5,7,4,0.25,37.28
"360",0.76,661.5,416.5,122.5,7,5,0.25,36.81
"361",0.74,686,245,220.5,3.5,2,0.25,14.73
"362",0.74,686,245,220.5,3.5,3,0.25,15.1
"363",0.74,686,245,220.5,3.5,4,0.25,15.18
"364",0.74,686,245,220.5,3.5,5,0.25,15.44
"365",0.71,710.5,269.5,220.5,3.5,2,0.25,14.91
"366",0.71,710.5,269.5,220.5,3.5,3,0.25,15.4
"367",0.71,710.5,269.5,220.5,3.5,4,0.25,14.94
"368",0.71,710.5,269.5,220.5,3.5,5,0.25,15.32
"369",0.69,735,294,220.5,3.5,2,0.25,15.52
"370",0.69,735,294,220.5,3.5,3,0.25,15.85
"371",0.69,735,294,220.5,3.5,4,0.25,15.66
"372",0.69,735,294,220.5,3.5,5,0.25,15.99
"373",0.66,759.5,318.5,220.5,3.5,2,0.25,15.89
"374",0.66,759.5,318.5,220.5,3.5,3,0.25,15.85
"375",0.66,759.5,318.5,220.5,3.5,4,0.25,16.22
"376",0.66,759.5,318.5,220.5,3.5,5,0.25,15.87
"377",0.64,784,343,220.5,3.5,2,0.25,20.47
"378",0.64,784,343,220.5,3.5,3,0.25,20.56
"379",0.64,784,343,220.5,3.5,4,0.25,20.48
"380",0.64,784,343,220.5,3.5,5,0.25,20.43
"381",0.62,808.5,367.5,220.5,3.5,2,0.25,15.32
"382",0.62,808.5,367.5,220.5,3.5,3,0.25,15.64
"383",0.62,808.5,367.5,220.5,3.5,4,0.25,15.14
"384",0.62,808.5,367.5,220.5,3.5,5,0.25,15.3
"385",0.98,514.5,294,110.25,7,2,0.25,29.43
"386",0.98,514.5,294,110.25,7,3,0.25,29.78
"387",0.98,514.5,294,110.25,7,4,0.25,30.1
"388",0.98,514.5,294,110.25,7,5,0.25,30.19
"389",0.9,563.5,318.5,122.5,7,2,0.25,36.35
"390",0.9,563.5,318.5,122.5,7,3,0.25,35.1
"391",0.9,563.5,318.5,122.5,7,4,0.25,32.83
"392",0.9,563.5,318.5,122.5,7,5,0.25,32.46
"393",0.86,588,294,147,7,2,0.25,33.52
"394",0.86,588,294,147,7,3,0.25,32.93
"395",0.86,588,294,147,7,4,0.25,28.38
"396",0.86,588,294,147,7,5,0.25,29.82
"397",0.82,612.5,318.5,147,7,2,0.25,28.77
"398",0.82,612.5,318.5,147,7,3,0.25,27.76
"399",0.82,612.5,318.5,147,7,4,0.25,26.95
"400",0.82,612.5,318.5,147,7,5,0.25,26.41
"401",0.79,637,343,147,7,2,0.25,45.13
"402",0.79,637,343,147,7,3,0.25,43.66
"403",0.79,637,343,147,7,4,0.25,37.76
"404",0.79,637,343,147,7,5,0.25,36.87
"405",0.76,661.5,416.5,122.5,7,2,0.25,36.07
"406",0.76,661.5,416.5,122.5,7,3,0.25,36.44
"407",0.76,661.5,416.5,122.5,7,4,0.25,37.28
"408",0.76,661.5,416.5,122.5,7,5,0.25,37.29
"409",0.74,686,245,220.5,3.5,2,0.25,14.49
"410",0.74,686,245,220.5,3.5,3,0.25,13.79
"411",0.74,686,245,220.5,3.5,4,0.25,14.72
"412",0.74,686,245,220.5,3.5,5,0.25,14.76
"413",0.71,710.5,269.5,220.5,3.5,2,0.25,14.92
"414",0.71,710.5,269.5,220.5,3.5,3,0.25,14.74
"415",0.71,710.5,269.5,220.5,3.5,4,0.25,15.57
"416",0.71,710.5,269.5,220.5,3.5,5,0.25,14.94
"417",0.69,735,294,220.5,3.5,2,0.25,14.92
"418",0.69,735,294,220.5,3.5,3,0.25,14.38
"419",0.69,735,294,220.5,3.5,4,0.25,15.44
"420",0.69,735,294,220.5,3.5,5,0.25,15.17
"421",0.66,759.5,318.5,220.5,3.5,2,0.25,15.53
"422",0.66,759.5,318.5,220.5,3.5,3,0.25,15.8
"423",0.66,759.5,318.5,220.5,3.5,4,0.25,16.14
"424",0.66,759.5,318.5,220.5,3.5,5,0.25,16.26
"425",0.64,784,343,220.5,3.5,2,0.25,19.87
"426",0.64,784,343,220.5,3.5,3,0.25,20.03
"427",0.64,784,343,220.5,3.5,4,0.25,20.46
"428",0.64,784,343,220.5,3.5,5,0.25,20.28
"429",0.62,808.5,367.5,220.5,3.5,2,0.25,14.89
"430",0.62,808.5,367.5,220.5,3.5,3,0.25,14.96
"431",0.62,808.5,367.5,220.5,3.5,4,0.25,14.89
"432",0.62,808.5,367.5,220.5,3.5,5,0.25,14.35
"433",0.98,514.5,294,110.25,7,2,0.25,29.61
"434",0.98,514.5,294,110.25,7,3,0.25,29.59
"435",0.98,514.5,294,110.25,7,4,0.25,30.19
"436",0.98,514.5,294,110.25,7,5,0.25,30.12
"437",0.9,563.5,318.5,122.5,7,2,0.25,32.12
"438",0.9,563.5,318.5,122.5,7,3,0.25,37.12
"439",0.9,563.5,318.5,122.5,7,4,0.25,36.16
"440",0.9,563.5,318.5,122.5,7,5,0.25,33.16
"441",0.86,588,294,147,7,2,0.25,29.45
"442",0.86,588,294,147,7,3,0.25,34.19
"443",0.86,588,294,147,7,4,0.25,33.93
"444",0.86,588,294,147,7,5,0.25,28.31
"445",0.82,612.5,318.5,147,7,2,0.25,26.3
"446",0.82,612.5,318.5,147,7,3,0.25,29.43
"447",0.82,612.5,318.5,147,7,4,0.25,28.76
"448",0.82,612.5,318.5,147,7,5,0.25,27.34
"449",0.79,637,343,147,7,2,0.25,36.26
"450",0.79,637,343,147,7,3,0.25,45.48
"451",0.79,637,343,147,7,4,0.25,44.16
"452",0.79,637,343,147,7,5,0.25,37.26
"453",0.76,661.5,416.5,122.5,7,2,0.25,37.2
"454",0.76,661.5,416.5,122.5,7,3,0.25,36.76
"455",0.76,661.5,416.5,122.5,7,4,0.25,37.05
"456",0.76,661.5,416.5,122.5,7,5,0.25,37.51
"457",0.74,686,245,220.5,3.5,2,0.25,14.92
"458",0.74,686,245,220.5,3.5,3,0.25,15.24
"459",0.74,686,245,220.5,3.5,4,0.25,15.03
"460",0.74,686,245,220.5,3.5,5,0.25,15.35
"461",0.71,710.5,269.5,220.5,3.5,2,0.25,14.67
"462",0.71,710.5,269.5,220.5,3.5,3,0.25,15.09
"463",0.71,710.5,269.5,220.5,3.5,4,0.25,15.2
"464",0.71,710.5,269.5,220.5,3.5,5,0.25,15.64
"465",0.69,735,294,220.5,3.5,2,0.25,15.37
"466",0.69,735,294,220.5,3.5,3,0.25,15.73
"467",0.69,735,294,220.5,3.5,4,0.25,15.83
"468",0.69,735,294,220.5,3.5,5,0.25,16.13
"469",0.66,759.5,318.5,220.5,3.5,2,0.25,15.95
"470",0.66,759.5,318.5,220.5,3.5,3,0.25,15.59
"471",0.66,759.5,318.5,220.5,3.5,4,0.25,16.17
