ride_id,travel_date,travel_time,travel_from,car_type,max_capacity,Count
5923,2018-04-12,07:30,Kisii,shuttle,11,1
5924,2018-04-12,10:57,Kisii,shuttle,11,1
5925,2018-04-12,05:30,Kisii,shuttle,11,1
5928,2018-04-11,05:20,Kisii,shuttle,11,1
5929,2018-04-11,05:10,Kisii,shuttle,11,8
5931,2018-04-11,05:00,Kisii,shuttle,11,1
5933,2017-11-28,08:30,Keroka,shuttle,11,1
5937,2017-11-28,07:06,Keroka,Bus,49,1
5940,2018-04-11,07:02,Kisii,Bus,49,1
5941,2018-04-11,09:50,Kisii,shuttle,11,3
5942,2018-04-11,11:01,Kisii,shuttle,11,1
5943,2018-04-11,06:30,Kisii,shuttle,11,1
5944,2018-04-11,07:11,Kisii,Bus,49,1
5945,2018-04-11,10:58,Kisii,shuttle,11,1
5946,2018-04-11,05:30,Kisii,shuttle,11,1
5947,2017-11-28,07:12,Migori,Bus,49,11
5950,2017-11-28,07:09,Homa Bay,Bus,49,10
5951,2018-04-10,05:10,Kisii,shuttle,11,6
5953,2018-04-10,05:00,Kisii,shuttle,11,1
5957,2018-04-10,07:06,Kisii,Bus,49,6
5958,2018-04-10,06:40,Kisii,shuttle,11,1
5959,2018-04-10,05:40,Kisii,shuttle,11,1
5960,2018-04-10,06:00,Kisii,shuttle,11,1
5961,2018-04-10,05:30,Kisii,shuttle,11,1
5964,2018-04-09,05:10,Kisii,shuttle,11,2
5965,2018-04-09,05:00,Kisii,shuttle,11,1
5969,2018-04-09,07:06,Kisii,Bus,49,2
5971,2018-04-09,19:03,Kisii,Bus,49,1
5972,2018-04-09,06:30,Kisii,shuttle,11,2
5973,2018-04-09,05:30,Kisii,shuttle,11,1
5976,2018-04-08,05:10,Kisii,shuttle,11,2
5982,2018-04-08,07:06,Kisii,Bus,49,4
5983,2018-04-08,09:10,Kisii,shuttle,11,1
5984,2018-04-08,07:03,Kisii,Bus,49,1
5985,2018-04-08,05:30,Kisii,shuttle,11,1
5986,2018-04-08,07:04,Kisii,Bus,49,1
5988,2017-11-28,07:08,Migori,Bus,49,3
5993,2018-04-07,07:06,Kisii,Bus,49,1
5994,2018-04-07,06:58,Kisii,shuttle,11,1
5995,2018-04-07,06:40,Kisii,shuttle,11,1
5996,2018-04-07,06:30,Kisii,shuttle,11,2
5997,2018-04-07,11:05,Kisii,shuttle,11,1
5998,2017-11-28,10:20,Keroka,shuttle,11,1
6000,2018-04-07,05:30,Kisii,shuttle,11,1
6003,2018-04-06,05:10,Kisii,shuttle,11,5
6008,2018-04-06,07:06,Kisii,Bus,49,2
6009,2018-04-06,05:50,Kisii,shuttle,11,1
6010,2018-04-06,05:30,Kisii,shuttle,11,1
6013,2018-04-05,05:00,Kisii,shuttle,11,1
6015,2018-04-05,05:10,Kisii,shuttle,11,8
6019,2018-04-05,07:07,Kisii,Bus,49,2
6020,2018-04-05,07:06,Kisii,Bus,49,1
6021,2018-04-05,19:05,Kisii,Bus,49,1
6022,2018-04-05,05:30,Kisii,shuttle,11,1
6029,2018-04-04,07:08,Kisii,Bus,49,1
6030,2018-04-04,07:06,Kisii,Bus,49,1
6031,2018-04-04,06:00,Kisii,shuttle,11,1
6032,2018-04-04,05:30,Kisii,shuttle,11,1
6037,2018-04-03,07:06,Kisii,Bus,49,1
6038,2018-04-03,07:07,Kisii,Bus,49,1
6039,2018-04-03,10:53,Kisii,shuttle,11,1
6040,2018-04-03,05:40,Kisii,shuttle,11,1
6041,2018-04-03,07:20,Kisii,shuttle,11,1
6042,2018-04-03,05:30,Kisii,shuttle,11,1
6045,2018-04-02,05:00,Kisii,shuttle,11,1
6049,2018-04-02,07:06,Kisii,Bus,49,2
6050,2018-04-02,07:12,Kisii,Bus,49,1
6051,2018-04-02,05:30,Kisii,shuttle,11,1
6055,2017-11-28,07:04,Homa Bay,Bus,49,4
6058,2018-04-01,07:06,Kisii,Bus,49,1
6059,2018-04-01,09:50,Kisii,shuttle,11,2
6060,2018-04-01,05:30,Kisii,shuttle,11,1
6065,2018-03-31,07:04,Kisii,Bus,49,1
6066,2018-03-31,07:06,Kisii,Bus,49,1
6067,2018-03-31,10:00,Kisii,shuttle,11,1
6068,2018-03-31,08:50,Kisii,shuttle,11,1
6069,2018-03-31,10:51,Kisii,shuttle,11,1
6070,2018-03-31,05:30,Kisii,shuttle,11,1
6073,2018-03-30,05:00,Kisii,shuttle,11,1
6080,2018-03-30,07:02,Kisii,Bus,49,1
6081,2018-03-30,10:54,Kisii,shuttle,11,1
6082,2018-03-30,05:40,Kisii,shuttle,11,1
6083,2018-03-30,10:20,Kisii,shuttle,11,1
6084,2018-03-30,05:30,Kisii,shuttle,11,1
6085,2018-03-30,10:50,Kisii,shuttle,11,1
6088,2018-03-29,05:00,Kisii,shuttle,11,2
6089,2018-03-29,05:10,Kisii,shuttle,11,1
6095,2018-03-29,07:06,Kisii,Bus,49,2
6096,2018-03-29,09:50,Kisii,shuttle,11,1
6097,2018-03-29,05:30,Kisii,shuttle,11,2
6099,2018-03-29,07:01,Kisii,Bus,49,1
6105,2018-03-28,05:10,Kisii,shuttle,11,1
6106,2018-03-28,05:00,Kisii,shuttle,11,1
6112,2018-03-28,07:06,Kisii,Bus,49,2
6113,2018-03-28,10:20,Kisii,shuttle,11,1
6114,2018-03-28,08:50,Kisii,shuttle,11,1
6115,2018-03-28,06:40,Kisii,shuttle,11,1
6116,2018-03-28,07:00,Kisii,shuttle,11,1
6117,2018-03-28,05:30,Kisii,shuttle,11,1
6120,2017-11-29,07:14,Rongo,Bus,49,1
6122,2018-03-27,05:00,Kisii,shuttle,11,1
6126,2017-11-29,07:04,Rongo,Bus,49,1
6127,2018-03-27,07:06,Kisii,Bus,49,2
6128,2018-03-27,07:02,Kisii,Bus,49,1
6129,2018-03-27,06:50,Kisii,shuttle,11,1
6130,2018-03-27,07:07,Kisii,Bus,49,1
6131,2018-03-27,06:10,Kisii,shuttle,11,1
6132,2017-11-29,05:30,Keroka,shuttle,11,1
6133,2018-03-27,05:30,Kisii,shuttle,11,1
6134,2018-03-27,06:20,Kisii,shuttle,11,4
6135,2017-11-29,07:12,Migori,Bus,49,6
6138,2017-11-29,07:09,Homa Bay,Bus,49,5
6139,2018-03-26,05:00,Kisii,shuttle,11,2
6143,2018-03-26,19:03,Kisii,Bus,49,1
6144,2018-03-26,07:06,Kisii,Bus,49,2
6145,2018-03-26,06:10,Kisii,shuttle,11,1
6146,2018-03-26,06:40,Kisii,shuttle,11,1
6147,2018-03-26,07:30,Kisii,shuttle,11,1
6148,2018-03-26,05:30,Kisii,shuttle,11,1
6149,2018-03-26,06:00,Kisii,shuttle,11,1
6153,2017-11-29,07:05,Rongo,Bus,49,4
6154,2018-03-25,05:00,Kisii,shuttle,11,5
6162,2018-03-25,07:06,Kisii,Bus,49,3
6163,2018-03-25,06:40,Kisii,shuttle,11,1
6164,2018-03-25,08:50,Kisii,shuttle,11,1
6165,2018-03-25,10:54,Kisii,shuttle,11,1
6166,2018-03-25,10:10,Kisii,shuttle,11,1
6167,2018-03-25,11:02,Kisii,shuttle,11,1
6168,2018-03-25,07:20,Kisii,shuttle,11,1
6169,2018-03-25,05:30,Kisii,shuttle,11,1
6171,2018-03-24,05:00,Kisii,shuttle,11,1
6176,2018-03-24,07:06,Kisii,Bus,49,2
6177,2018-03-24,08:00,Kisii,Bus,49,2
6178,2018-03-24,09:40,Kisii,shuttle,11,1
6179,2018-03-24,08:20,Kisii,shuttle,11,1
6180,2018-03-24,05:30,Kisii,shuttle,11,1
6183,2018-03-23,05:10,Kisii,shuttle,11,1
6187,2018-03-23,19:05,Kisii,Bus,49,1
6188,2018-03-23,08:00,Kisii,Bus,49,1
6189,2018-03-23,07:04,Kisii,Bus,49,3
6190,2018-03-23,05:50,Kisii,shuttle,11,1
6191,2018-03-23,06:58,Kisii,shuttle,11,1
6193,2018-03-23,08:30,Kisii,shuttle,11,1
6194,2018-03-23,07:07,Kisii,Bus,49,1
6195,2018-03-23,05:30,Kisii,shuttle,11,1
6199,2018-03-22,05:10,Kisii,shuttle,11,2
6200,2018-03-22,05:00,Kisii,shuttle,11,1
6202,2017-11-29,07:15,Migori,Bus,49,8
6206,2018-03-22,07:06,Kisii,Bus,49,5
6207,2018-03-22,09:10,Kisii,shuttle,11,4
6208,2018-03-22,06:00,Kisii,shuttle,11,2
6209,2018-03-22,05:40,Kisii,shuttle,11,1
6210,2018-03-22,06:10,Kisii,shuttle,11,3
6211,2018-03-22,05:30,Kisii,shuttle,11,1
6212,2018-03-22,06:40,Kisii,shuttle,11,1
6215,2018-03-21,05:10,Kisii,shuttle,11,1
6221,2018-03-21,06:40,Kisii,shuttle,11,1
6222,2018-03-21,07:06,Kisii,Bus,49,6
6223,2018-03-21,07:04,Kisii,Bus,49,1
6224,2018-03-21,05:30,Kisii,shuttle,11,1
6226,2018-03-20,05:10,Kisii,shuttle,11,3
6231,2018-03-20,09:30,Kisii,shuttle,11,1
6232,2018-03-20,08:20,Kisii,shuttle,11,1
6233,2018-03-20,07:12,Kisii,Bus,49,1
6234,2018-03-20,08:50,Kisii,shuttle,11,1
6235,2018-03-20,07:06,Kisii,Bus,49,1
6236,2018-03-20,07:50,Kisii,shuttle,11,1
6237,2018-03-20,07:15,Kisii,Bus,49,1
6238,2018-03-20,05:30,Kisii,shuttle,11,1
6239,2018-03-20,07:08,Kisii,Bus,49,1
6242,2018-03-19,05:10,Kisii,shuttle,11,1
6243,2017-11-29,07:06,Keroka,Bus,49,1
6245,2017-11-29,07:04,Homa Bay,Bus,49,11
6251,2018-03-19,07:06,Kisii,Bus,49,2
6252,2018-03-19,05:40,Kisii,shuttle,11,1
6253,2018-03-19,07:07,Kisii,Bus,49,1
6254,2018-03-19,05:50,Kisii,shuttle,11,1
6255,2018-03-19,05:30,Kisii,shuttle,11,1
6261,2017-11-29,07:08,Migori,Bus,49,1
6262,2018-03-18,05:00,Kisii,shuttle,11,1
6267,2018-03-18,07:06,Kisii,Bus,49,2
6268,2018-03-18,10:51,Kisii,shuttle,11,2
6269,2018-03-18,05:30,Kisii,shuttle,11,2
6277,2018-03-17,07:06,Kisii,Bus,49,3
6278,2018-03-17,09:10,Kisii,shuttle,11,1
6279,2018-03-17,07:04,Kisii,Bus,49,1
6280,2018-03-17,05:40,Kisii,shuttle,11,1
6281,2018-03-17,05:30,Kisii,shuttle,11,1
6282,2018-03-17,05:20,Kisii,shuttle,11,1
6301,2018-03-16,05:50,Kisii,shuttle,11,1
6302,2018-03-16,07:07,Kisii,Bus,49,24
6303,2018-03-16,10:56,Kisii,shuttle,11,5
6305,2018-03-16,10:57,Kisii,shuttle,11,1
6306,2018-03-16,10:55,Kisii,shuttle,11,9
6310,2017-11-30,07:15,Migori,Bus,49,2
6311,2017-11-30,07:12,Migori,Bus,49,1
6314,2017-11-30,07:08,Rongo,Bus,49,2
6315,2018-03-16,10:54,Kisii,shuttle,11,10
6316,2018-03-16,10:53,Kisii,shuttle,11,8
6317,2018-03-16,10:52,Kisii,shuttle,11,8
6319,2018-03-16,10:51,Kisii,shuttle,11,9
6324,2018-03-16,10:50,Kisii,shuttle,11,7
6325,2018-03-16,07:06,Kisii,Bus,49,6
6327,2018-03-16,10:40,Kisii,shuttle,11,8
6330,2018-03-16,10:30,Kisii,shuttle,11,8
6335,2018-03-16,10:20,Kisii,shuttle,11,10
6337,2017-12-01,07:12,Migori,Bus,49,1
6338,2018-03-16,10:10,Kisii,shuttle,11,3
6339,2017-12-01,07:09,Rongo,Bus,49,1
6340,2018-03-16,09:20,Kisii,shuttle,11,10
6342,2018-03-16,09:30,Kisii,shuttle,11,5
6343,2018-03-16,09:10,Kisii,shuttle,11,6
6344,2017-12-01,07:14,Rongo,Bus,49,1
6345,2017-12-01,07:00,Rongo,Bus,49,1
6346,2018-03-16,09:00,Kisii,shuttle,11,4
6347,2017-12-01,07:05,Rongo,Bus,49,5
6348,2018-03-16,08:50,Kisii,shuttle,11,5
6349,2018-03-16,08:40,Kisii,shuttle,11,9
6350,2018-03-16,08:30,Kisii,shuttle,11,9
6351,2018-03-16,08:20,Kisii,shuttle,11,6
6352,2018-03-16,08:10,Kisii,shuttle,11,10
6354,2018-03-16,08:00,Kisii,shuttle,11,10
6355,2018-03-16,07:50,Kisii,shuttle,11,10
6356,2017-12-01,07:08,Rongo,Bus,49,3
6357,2018-03-16,07:40,Kisii,shuttle,11,6
6358,2018-03-16,07:02,Kisii,Bus,49,11
6360,2018-03-16,07:03,Kisii,Bus,49,11
6361,2018-03-16,07:30,Kisii,shuttle,11,7
6364,2018-03-16,07:20,Kisii,shuttle,11,10
6366,2018-03-16,07:15,Kisii,Bus,49,11
6367,2018-03-16,06:58,Kisii,shuttle,11,10
6368,2018-03-16,07:00,Kisii,shuttle,11,11
6370,2017-12-01,06:50,Keroka,shuttle,11,10
6371,2018-03-16,06:50,Kisii,shuttle,11,9
6372,2018-03-16,07:05,Kisii,Bus,49,2
6373,2018-03-16,06:40,Kisii,shuttle,11,4
6375,2018-03-16,05:40,Kisii,shuttle,11,1
6378,2017-12-01,06:40,Keroka,shuttle,11,11
6381,2017-12-01,06:30,Keroka,shuttle,11,10
6384,2018-03-15,07:06,Kisii,Bus,49,22
6385,2018-03-15,08:00,Kisii,shuttle,11,8
6386,2018-03-15,09:40,Kisii,shuttle,11,1
6387,2018-03-15,09:00,Kisii,shuttle,11,7
6388,2017-12-01,06:20,Keroka,shuttle,11,9
6389,2018-03-15,07:07,Kisii,Bus,49,8
6390,2017-12-01,06:10,Keroka,shuttle,11,11
6391,2018-03-15,08:50,Kisii,shuttle,11,9
6392,2017-12-01,06:00,Keroka,shuttle,11,11
6393,2018-03-15,08:20,Kisii,shuttle,11,2
6394,2018-03-15,08:40,Kisii,shuttle,11,11
6395,2017-12-01,05:50,Keroka,shuttle,11,11
6396,2017-12-01,05:40,Keroka,shuttle,11,11
6397,2018-03-15,08:30,Kisii,shuttle,11,10
6398,2017-12-01,05:30,Keroka,shuttle,11,11
6399,2018-03-15,05:50,Kisii,shuttle,11,1
6400,2018-03-15,08:10,Kisii,shuttle,11,1
6401,2018-03-15,07:50,Kisii,shuttle,11,8
6402,2018-03-15,07:40,Kisii,shuttle,11,6
6403,2017-12-01,10:58,Keroka,shuttle,11,11
6404,2018-03-15,07:30,Kisii,shuttle,11,10
6405,2018-03-15,07:20,Kisii,shuttle,11,9
6406,2018-03-15,06:58,Kisii,shuttle,11,10
6407,2018-03-15,07:00,Kisii,shuttle,11,7
6408,2018-03-15,06:50,Kisii,shuttle,11,8
6409,2018-03-15,07:01,Kisii,Bus,49,15
6420,2018-03-15,06:40,Kisii,shuttle,11,10
6422,2017-12-02,07:06,Keroka,Bus,49,3
6423,2017-12-02,07:00,Rongo,Bus,49,9
6424,2017-12-02,07:05,Rongo,Bus,49,3
6425,2018-03-15,06:30,Kisii,shuttle,11,10
6426,2018-03-15,07:05,Kisii,Bus,49,6
6428,2018-03-15,06:20,Kisii,shuttle,11,6
6434,2017-12-02,07:14,Rongo,Bus,49,3
6435,2018-03-15,06:10,Kisii,shuttle,11,5
6436,2018-03-15,07:03,Kisii,Bus,49,1
6447,2018-03-15,05:30,Kisii,shuttle,11,1
6449,2018-03-14,05:20,Kisii,shuttle,11,1
6453,2018-03-14,08:30,Kisii,shuttle,11,3
6454,2018-03-14,08:20,Kisii,shuttle,11,9
6455,2018-03-14,08:10,Kisii,shuttle,11,10
6456,2018-03-14,07:06,Kisii,Bus,49,11
6459,2018-03-14,08:00,Kisii,shuttle,11,9
6461,2018-03-14,07:50,Kisii,shuttle,11,11
6464,2018-03-14,07:40,Kisii,shuttle,11,11
6465,2018-03-14,06:00,Kisii,shuttle,11,1
6466,2018-03-14,07:30,Kisii,shuttle,11,3
6468,2018-03-14,05:50,Kisii,shuttle,11,11
6470,2017-12-03,07:14,Rongo,Bus,49,3
6471,2018-03-14,05:40,Kisii,shuttle,11,1
6472,2018-03-14,05:30,Kisii,shuttle,11,1
6476,2017-12-03,07:06,Keroka,Bus,49,1
6477,2018-03-13,05:00,Kisii,shuttle,11,1
6485,2018-03-13,07:06,Kisii,Bus,49,5
6486,2018-03-13,10:51,Kisii,shuttle,11,1
6487,2018-03-13,10:50,Kisii,shuttle,11,9
6488,2018-03-13,10:40,Kisii,shuttle,11,10
6490,2018-03-13,10:30,Kisii,shuttle,11,8
6491,2018-03-13,10:20,Kisii,shuttle,11,10
6492,2017-12-03,07:09,Rongo,Bus,49,1
6493,2018-03-13,10:10,Kisii,shuttle,11,11
6494,2018-03-13,10:00,Kisii,shuttle,11,3
6495,2018-03-13,09:50,Kisii,shuttle,11,6
6496,2018-03-13,09:40,Kisii,shuttle,11,6
6497,2018-03-13,09:30,Kisii,shuttle,11,8
6498,2018-03-13,09:20,Kisii,shuttle,11,8
6499,2018-03-13,09:10,Kisii,shuttle,11,11
6500,2018-03-13,09:00,Kisii,shuttle,11,10
6501,2018-03-13,08:50,Kisii,shuttle,11,4
6504,2018-03-13,08:40,Kisii,shuttle,11,9
6507,2018-03-13,08:20,Kisii,shuttle,11,10
6508,2018-03-13,08:30,Kisii,shuttle,11,8
6509,2018-03-13,07:03,Kisii,Bus,49,17
6512,2017-12-03,06:30,Keroka,shuttle,11,2
6522,2018-03-13,08:10,Kisii,shuttle,11,10
6527,2018-03-13,08:00,Kisii,shuttle,11,10
6529,2017-12-04,07:04,Rongo,Bus,49,3
6530,2018-03-13,07:50,Kisii,shuttle,11,8
6531,2017-12-04,07:13,Rongo,Bus,49,3
6532,2017-12-04,07:09,Homa Bay,Bus,49,25
6533,2018-03-13,07:40,Kisii,shuttle,11,8
6534,2018-03-13,07:01,Kisii,Bus,49,5
6535,2017-12-04,07:12,Migori,Bus,49,15
6536,2018-03-13,07:30,Kisii,shuttle,11,11
6537,2017-12-04,07:04,Homa Bay,Bus,49,1
6538,2017-12-04,07:10,Homa Bay,Bus,49,1
6539,2017-12-04,07:05,Rongo,Bus,49,5
6540,2017-12-04,07:14,Rongo,Bus,49,11
6541,2018-03-13,07:20,Kisii,shuttle,11,7
6542,2018-03-13,07:08,Kisii,Bus,49,5
6543,2018-03-13,06:58,Kisii,shuttle,11,8
6544,2018-03-13,07:00,Kisii,shuttle,11,11
6545,2018-03-13,06:50,Kisii,shuttle,11,8
6546,2018-03-13,06:40,Kisii,shuttle,11,7
6547,2018-03-13,05:30,Kisii,shuttle,11,1
6550,2018-03-12,05:20,Kisii,shuttle,11,1
6557,2018-03-12,07:06,Kisii,Bus,49,12
6558,2018-03-12,08:20,Kisii,shuttle,11,10
6559,2018-03-12,09:20,Kisii,shuttle,11,3
6560,2017-12-04,07:07,Kijauri,Bus,49,3
6561,2018-03-12,06:20,Kisii,shuttle,11,11
6562,2018-03-12,09:10,Kisii,shuttle,11,1
6563,2018-03-12,08:10,Kisii,shuttle,11,8
6564,2018-03-12,07:30,Kisii,shuttle,11,8
6565,2018-03-12,08:50,Kisii,shuttle,11,4
6566,2018-03-12,08:40,Kisii,shuttle,11,8
6567,2018-03-12,08:30,Kisii,shuttle,11,11
6568,2017-12-04,07:00,Kijauri,shuttle,11,5
6569,2018-03-12,08:00,Kisii,shuttle,11,11
6570,2017-12-04,07:06,Kijauri,Bus,49,1
6571,2018-03-12,07:50,Kisii,shuttle,11,9
6572,2018-03-12,07:40,Kisii,shuttle,11,11
6573,2018-03-12,06:58,Kisii,shuttle,11,6
6574,2017-12-04,05:00,Keroka,shuttle,11,4
6575,2018-03-12,19:04,Kisii,Bus,49,31
6576,2017-12-04,07:11,Homa Bay,Bus,49,1
6577,2017-12-04,06:20,Kijauri,shuttle,11,1
6585,2018-03-12,07:00,Kisii,shuttle,11,8
6591,2018-03-12,06:50,Kisii,shuttle,11,8
6592,2018-03-12,07:03,Kisii,Bus,49,4
6593,2018-03-12,06:40,Kisii,shuttle,11,7
6594,2017-12-05,07:05,Rongo,Bus,49,5
6595,2018-03-12,06:59,Kisii,Bus,49,2
6596,2017-12-05,07:00,Rongo,Bus,49,6
6597,2017-12-05,07:08,Migori,Bus,49,2
6598,2017-12-05,07:12,Migori,Bus,49,25
6599,2017-12-05,07:09,Homa Bay,Bus,49,27
6600,2017-12-05,07:04,Rongo,Bus,49,10
6601,2018-03-12,06:30,Kisii,shuttle,11,11
6602,2017-12-05,07:02,Oyugis,Bus,49,1
6603,2017-12-05,07:14,Rongo,Bus,49,21
6604,2018-03-12,07:15,Kisii,Bus,49,5
6605,2018-03-12,07:05,Kisii,Bus,49,3
6606,2017-12-05,07:06,Keroka,Bus,49,6
6607,2018-03-12,06:10,Kisii,shuttle,11,7
6608,2018-03-12,05:50,Kisii,shuttle,11,1
6609,2018-03-12,05:30,Kisii,shuttle,11,1
6612,2017-12-05,07:10,Homa Bay,Bus,49,8
6613,2018-03-11,05:20,Kisii,shuttle,11,6
6614,2018-03-11,05:00,Kisii,shuttle,11,2
6618,2017-12-05,07:15,Migori,Bus,49,21
6621,2018-03-11,07:04,Kisii,Bus,49,1
6622,2018-03-11,07:06,Kisii,Bus,49,24
6623,2018-03-11,07:14,Kisii,Bus,49,1
6624,2018-03-11,11:00,Kisii,shuttle,11,1
6625,2018-03-11,10:58,Kisii,shuttle,11,4
6626,2017-12-05,07:09,Rongo,Bus,49,4
6627,2018-03-11,10:57,Kisii,shuttle,11,6
6628,2018-03-11,10:56,Kisii,shuttle,11,10
6629,2018-03-11,10:55,Kisii,shuttle,11,7
6630,2018-03-11,10:54,Kisii,shuttle,11,11
6631,2018-03-11,10:53,Kisii,shuttle,11,10
6632,2018-03-11,10:52,Kisii,shuttle,11,9
6633,2018-03-11,10:51,Kisii,shuttle,11,11
6634,2018-03-11,10:50,Kisii,shuttle,11,8
6635,2018-03-11,10:40,Kisii,shuttle,11,11
6636,2017-12-05,07:06,Kijauri,Bus,49,10
6637,2018-03-11,10:30,Kisii,shuttle,11,10
6638,2018-03-11,10:20,Kisii,shuttle,11,11
6639,2018-03-11,10:10,Kisii,shuttle,11,10
6640,2018-03-11,10:00,Kisii,shuttle,11,8
6641,2018-03-11,09:50,Kisii,shuttle,11,8
6642,2018-03-11,09:40,Kisii,shuttle,11,11
6643,2018-03-11,09:30,Kisii,shuttle,11,8
6645,2018-03-11,09:20,Kisii,shuttle,11,11
6646,2017-12-05,09:00,Keroka,shuttle,11,2
6647,2018-03-11,09:10,Kisii,shuttle,11,11
6649,2018-03-11,09:00,Kisii,shuttle,11,8
6650,2017-12-05,06:30,Keroka,shuttle,11,1
6651,2017-12-05,07:08,Rongo,Bus,49,2
6653,2018-03-11,08:50,Kisii,shuttle,11,8
6654,2017-12-05,07:08,Awendo,Bus,49,2
6655,2017-12-05,07:04,Homa Bay,Bus,49,23
6661,2018-03-11,08:40,Kisii,shuttle,11,7
6664,2018-03-11,08:30,Kisii,shuttle,11,10
6665,2018-03-11,08:20,Kisii,shuttle,11,6
6666,2017-12-06,07:12,Migori,Bus,49,26
6667,2017-12-06,07:09,Homa Bay,Bus,49,15
6668,2018-03-11,08:10,Kisii,shuttle,11,10
6669,2018-03-11,08:00,Kisii,shuttle,11,8
6670,2017-12-06,07:04,Keroka,Bus,49,1
